2nd Activator, 3rd Activator, 2nd Layer Units, 3rd Layer Units, Train ERROR MSE,Test ERROR MSE,Train ERROR MAE,Test ERROR MAE 
Rectifier,Rectifier,2,4,0.00707896437121,0.00685767685276,0.0579004946895,0.0573733974583
Rectifier,Rectifier,2,6,0.00694490350213,0.00673375441358,0.0574701111405,0.0569648136193
Rectifier,Rectifier,2,8,0.00708902840637,0.0068699049222,0.0579547350478,0.0574518020113
Rectifier,Rectifier,2,10,0.00688517076073,0.00668232704268,0.0567108595681,0.0561695893553
Rectifier,Rectifier,2,12,0.0070051867228,0.00678302519182,0.0574766262768,0.0569246427641
Rectifier,Rectifier,4,4,0.0051361244055,0.00493441017009,0.0492295601944,0.0488177028482
Rectifier,Rectifier,4,6,0.00507049172119,0.00486903097237,0.0500390792483,0.0495988244516
Rectifier,Rectifier,4,8,0.00507539997013,0.00487439886239,0.0499322497524,0.0495236527848
Rectifier,Rectifier,4,10,0.00537891242241,0.00519316242691,0.0508510712831,0.0502876740321
Rectifier,Rectifier,4,12,0.00354415938525,0.00335055906121,0.0405720823676,0.040326608365
Rectifier,Rectifier,6,4,0.00708243100774,0.00685695707806,0.0578834276942,0.0573409799442
Rectifier,Rectifier,6,6,0.00521375685932,0.00499338811091,0.0506319455497,0.0502521760077
Rectifier,Rectifier,6,8,0.00355696625139,0.00346089997227,0.0430022470752,0.0429886908765
Rectifier,Rectifier,6,10,0.00361464730501,0.00342538333027,0.0411702397436,0.0409133444971
Rectifier,Rectifier,6,12,0.00262741333527,0.00254617852244,0.0346523357615,0.0346478534875
Rectifier,Rectifier,8,4,0.00408350975663,0.00395724677233,0.0444037169019,0.0440332641108
Rectifier,Rectifier,8,6,0.00534394557999,0.00515542735669,0.0499921466171,0.0496569734442
Rectifier,Rectifier,8,8,0.00264728663085,0.00258071046335,0.0358328501638,0.0359213608909
Rectifier,Rectifier,8,10,0.00291895385076,0.00273541005719,0.0372646246961,0.036778838735
Rectifier,Rectifier,8,12,0.00167408848943,0.0015949780254,0.0276246302764,0.0272789083964
Rectifier,Sigmoid,2,4,0.00711557125697,0.00689573949738,0.0582618101514,0.0577113046411
Rectifier,Sigmoid,2,6,0.00710995050725,0.00689216641389,0.058185861221,0.0576551944069
Rectifier,Sigmoid,2,8,0.00710855433118,0.00689258815982,0.0581411861469,0.0576160051151
Rectifier,Sigmoid,2,10,0.00711118093984,0.00689629107191,0.0582292558183,0.0577078029552
Rectifier,Sigmoid,2,12,0.00710339251095,0.00688438253507,0.058147401662,0.0576596152274
Rectifier,Sigmoid,4,4,0.00397587454401,0.00377578962929,0.0446400556449,0.04420041227
Rectifier,Sigmoid,4,6,0.0064252810513,0.00622313468183,0.0556532698904,0.0551320557423
Rectifier,Sigmoid,4,8,0.00555768375997,0.00537060142918,0.0516650968537,0.0513778628135
Rectifier,Sigmoid,4,10,0.0060706169691,0.005904550205,0.0548987019529,0.0543694173274
Rectifier,Sigmoid,4,12,0.00366393261264,0.00346861630709,0.041632337991,0.0414502104204
Rectifier,Sigmoid,6,4,0.00292814550902,0.00279478884266,0.0382869468451,0.0378394547947
Rectifier,Sigmoid,6,6,0.00301347936334,0.00296829785599,0.0400107043376,0.0399789630486
Rectifier,Sigmoid,6,8,0.00298120530962,0.00284653230173,0.0386433049199,0.0382783156882
Rectifier,Sigmoid,6,10,0.00228931709608,0.0021980600929,0.0342820452328,0.0341414481411
Rectifier,Sigmoid,6,12,0.00373382912998,0.00356202862751,0.0429237700178,0.0427685856683
Rectifier,Sigmoid,8,4,0.00311266321889,0.00292700128263,0.039873579786,0.0393152498055
Rectifier,Sigmoid,8,6,0.00376273617054,0.0036095361017,0.0437817554906,0.0436418510152
Rectifier,Sigmoid,8,8,0.00268331161812,0.00256429381202,0.0368149202403,0.036680720557
Rectifier,Sigmoid,8,10,0.00267706196159,0.00256464396083,0.036856685251,0.0366871613117
Rectifier,Sigmoid,8,12,0.00203657097267,0.00198555759187,0.0324280751914,0.032235601051
Rectifier,Tanh,2,4,0.00708252389824,0.0068602542531,0.0578907242084,0.0573698891915
Rectifier,Tanh,2,6,0.00705719549209,0.00683860267731,0.0579820916412,0.0575030428104
Rectifier,Tanh,2,8,0.00708469339519,0.00686512213111,0.0579138009061,0.0574025081692
Rectifier,Tanh,2,10,0.00708323719278,0.00686027833296,0.057923513649,0.0573925615943
Rectifier,Tanh,2,12,0.00704679756177,0.00682167791066,0.0576844936394,0.0571592006869
Rectifier,Tanh,4,4,0.00393669959936,0.00375469468476,0.0446608369385,0.0442904041398
Rectifier,Tanh,4,6,0.00573538038691,0.0055380585858,0.0525499797337,0.0519667322228
Rectifier,Tanh,4,8,0.00507463717954,0.00486703823842,0.0500463227985,0.0495931036943
Rectifier,Tanh,4,10,0.00543276979834,0.00523045302406,0.0511469269609,0.0506837173874
Rectifier,Tanh,4,12,0.00360903340813,0.00340489472266,0.0410256961745,0.0407893012728
Rectifier,Tanh,6,4,0.00268900574266,0.0024934497259,0.0345291710761,0.0336591375414
Rectifier,Tanh,6,6,0.0026396043841,0.00255427586113,0.0350880366821,0.035043048644
Rectifier,Tanh,6,8,0.00335112350581,0.00323529067321,0.0412940254028,0.0412431085007
Rectifier,Tanh,6,10,0.00261080930765,0.00249934699253,0.0354336553075,0.0351724306808
Rectifier,Tanh,6,12,0.00201539202732,0.00191102583667,0.0298252965558,0.0291112629663
Rectifier,Tanh,8,4,0.00268182278045,0.00255629330429,0.0362977425893,0.0358704092897
Rectifier,Tanh,8,6,0.00263656014381,0.00253190174129,0.0355303844033,0.0355133697847
Rectifier,Tanh,8,8,0.00201172831538,0.00194934818875,0.0317554870766,0.0313451873067
Rectifier,Tanh,8,10,0.00186174891259,0.00175658136709,0.028496566589,0.0278483681414
Rectifier,Tanh,8,12,0.00136380631676,0.001268224945,0.0234444948116,0.0229705049183
